concurso,acutotal,vsaparecer,somatotal,sorteado
789,495,0,199,yes
790,495,1,226,no
791,496,0,171,yes
792,497,0,191,yes
793,498,0,204,yes
794,499,0,170,yes
795,500,0,159,yes
796,501,0,181,yes
797,502,0,201,yes
798,502,1,194,no
799,502,2,224,no
800,502,3,186,no
801,502,4,186,no
802,502,5,185,no
803,502,6,234,no
804,502,7,185,no
805,503,0,191,yes
806,504,0,175,yes
807,505,0,192,yes
808,505,1,227,no
809,506,0,209,yes
810,506,1,205,no
811,507,0,151,yes
812,507,1,216,no
813,507,2,184,no
814,507,3,221,no
815,507,4,241,no
816,508,0,188,yes
817,509,0,183,yes
818,509,1,220,no
819,509,2,175,no
820,510,0,164,yes
821,510,1,201,no
822,511,0,222,yes
823,512,0,197,yes
824,513,0,212,yes
825,513,1,200,no
826,513,2,226,no
827,514,0,177,yes
828,514,1,222,no
829,515,0,214,yes
830,515,1,200,no
831,516,0,181,yes
832,517,0,205,yes
833,518,0,203,yes
834,519,0,204,yes
835,520,0,202,yes
836,521,0,203,yes
837,521,1,194,no
838,522,0,199,yes
839,523,0,201,yes
840,524,0,222,yes
841,524,1,185,no
842,524,2,206,no
843,524,3,212,no
844,524,4,193,no
845,525,0,224,yes
846,525,1,215,no
847,525,2,180,no
848,526,0,217,yes
849,526,1,217,no
850,527,0,209,yes
851,527,1,195,no
852,528,0,193,yes
853,529,0,196,yes
854,530,0,178,yes
855,530,1,195,no
856,531,0,205,yes
857,531,1,193,no
858,531,2,185,no
859,532,0,152,yes
860,532,1,192,no
861,533,0,163,yes
862,534,0,188,yes
863,534,1,215,no
864,534,2,227,no
865,534,3,197,no
866,535,0,168,yes
867,536,0,167,yes
868,537,0,191,yes
869,537,1,219,no
870,538,0,156,yes
871,539,0,198,yes
872,540,0,163,yes
873,541,0,182,yes
874,542,0,176,yes
875,543,0,212,yes
876,543,1,216,no
877,543,2,212,no
878,544,0,178,yes
879,545,0,201,yes
880,546,0,220,yes
881,546,1,179,no
882,547,0,203,yes
883,547,1,198,no
884,547,2,199,no
885,548,0,208,yes
886,548,1,181,no
887,548,2,230,no
888,548,3,217,no
889,549,0,190,yes
890,550,0,164,yes
891,550,1,213,no
892,551,0,193,yes
893,552,0,169,yes
894,553,0,206,yes
895,554,0,180,yes
896,555,0,168,yes
897,556,0,175,yes
898,556,1,196,no
899,556,2,212,no
900,557,0,194,yes
901,558,0,197,yes
902,559,0,179,yes
903,560,0,154,yes
904,560,1,199,no
905,560,2,198,no
906,561,0,165,yes
907,562,0,183,yes
908,563,0,186,yes
909,564,0,159,yes
910,564,1,198,no
911,565,0,196,yes
912,566,0,211,yes
913,566,1,213,no
914,566,2,191,no
915,567,0,192,yes
916,568,0,167,yes
917,569,0,182,yes
918,570,0,174,yes
919,571,0,158,yes
920,572,0,171,yes
921,573,0,193,yes
922,574,0,204,yes
923,574,1,187,no
924,575,0,183,yes
925,575,1,194,no
926,575,2,175,no
927,576,0,207,yes
928,576,1,198,no
929,577,0,178,yes
930,578,0,207,yes
931,579,0,197,yes
932,579,1,217,no
